epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,123.077,0.57294,1.7487,1.12449,0.8719,0.94,0.995,0.95122,0.34553,0.57565,1.04546,0.00013152,0.00013152,0.00013152
148,123.98,0.48224,1.70285,1.10899,0.84598,0.98,0.995,0.95321,0.35735,0.56716,1.06364,0.000131154,0.000131154,0.000131154
149,124.782,0.56335,1.76882,1.14921,0.90842,0.94,0.995,0.94923,0.36835,0.56993,1.07412,0.000130788,0.000130788,0.000130788
150,125.586,0.44243,1.46297,1.00257,0.86783,0.98,0.995,0.94326,0.38279,0.58027,1.09138,0.000130421,0.000130421,0.000130421
151,126.401,0.50387,1.65262,1.11485,0.89778,0.96,0.995,0.93928,0.38986,0.59838,1.10361,0.000130055,0.000130055,0.000130055
152,127.214,0.49042,1.51202,1.07305,0.9022,0.98,0.995,0.93729,0.38593,0.59776,1.0932,0.000129689,0.000129689,0.000129689
153,128.024,0.53598,1.60864,1.08942,0.85977,0.98,0.995,0.9353,0.38122,0.5871,1.0851,0.000129322,0.000129322,0.000129322
154,128.833,0.49981,1.68091,1.10537,0.84913,0.96,0.995,0.93928,0.38525,0.58912,1.08242,0.000128956,0.000128956,0.000128956
155,129.639,0.62105,1.69527,1.25152,0.87166,0.94,0.995,0.94127,0.38825,0.59674,1.08359,0.00012859,0.00012859,0.00012859
156,130.456,0.54244,1.63079,1.07588,0.80682,0.98,0.995,0.94923,0.3752,0.58846,1.07938,0.000128223,0.000128223,0.000128223
157,131.261,0.57042,1.55206,1.04889,0.84191,0.96,0.995,0.95321,0.35795,0.5931,1.06204,0.000127857,0.000127857,0.000127857
158,132.162,0.50843,1.37206,1.02663,0.87224,0.92,0.995,0.94923,0.37886,0.60064,1.06836,0.000127491,0.000127491,0.000127491
159,132.979,0.50806,1.62866,1.10898,0.83894,0.92,0.995,0.94326,0.39287,0.60713,1.07228,0.000127125,0.000127125,0.000127125
160,133.79,0.44621,1.50132,1.0551,0.9058,0.86,0.995,0.94525,0.38681,0.6064,1.05804,0.000126758,0.000126758,0.000126758
161,134.603,0.44814,1.478,1.02657,0.90412,0.88,0.995,0.95918,0.36756,0.58917,1.03568,0.000126392,0.000126392,0.000126392
162,135.415,0.489,1.30634,1.02388,0.91181,0.88,0.995,0.96316,0.34679,0.57773,1.01878,0.000126026,0.000126026,0.000126026
163,136.221,0.49771,1.61695,1.09296,0.88285,0.9,0.995,0.96515,0.33719,0.57159,1.01439,0.000125659,0.000125659,0.000125659
164,137.038,0.48843,1.37075,1.00597,0.88332,0.92,0.995,0.96117,0.34666,0.55312,1.02672,0.000125293,0.000125293,0.000125293
165,137.854,0.49377,1.40861,1.03103,0.90262,0.96,0.995,0.94326,0.37804,0.55814,1.05808,0.000124927,0.000124927,0.000124927
166,138.664,0.58239,1.93144,1.19652,0.89118,0.98,0.995,0.93928,0.38066,0.56142,1.07753,0.00012456,0.00012456,0.00012456
167,139.473,0.4249,1.3767,1.0487,0.86403,0.96,0.995,0.94326,0.37522,0.55764,1.07862,0.000124194,0.000124194,0.000124194
168,140.364,0.46965,1.48492,1.0816,0.83015,1,0.995,0.92933,0.39352,0.57781,1.09624,0.000123828,0.000123828,0.000123828
169,141.176,0.42005,1.30016,1.00162,0.83526,0.98,0.995,0.93132,0.41352,0.60295,1.12479,0.000123462,0.000123462,0.000123462
170,141.983,0.51441,1.43439,1.00336,0.8363,1,0.995,0.93729,0.40685,0.61221,1.12841,0.000123095,0.000123095,0.000123095
171,142.79,0.5891,1.65526,1.08513,0.83258,1,0.995,0.93928,0.38867,0.59369,1.11207,0.000122729,0.000122729,0.000122729
172,143.597,0.62537,1.5142,1.11378,0.87438,0.96,0.995,0.94724,0.37596,0.57233,1.09156,0.000122363,0.000122363,0.000122363
173,144.409,0.49265,1.55824,1.07892,0.88953,0.98,0.995,0.95321,0.35544,0.55737,1.06387,0.000121996,0.000121996,0.000121996
174,145.221,0.49849,1.62374,1.08002,0.9031,0.98,0.995,0.95719,0.33704,0.52636,1.0392,0.00012163,0.00012163,0.00012163
175,146.038,0.40005,1.30435,1.01225,0.9307,0.96,0.995,0.95719,0.33492,0.50215,1.02366,0.000121264,0.000121264,0.000121264
176,146.853,0.45262,1.41548,1.0552,0.94402,0.96,0.995,0.95719,0.35721,0.49318,1.02844,0.000120897,0.000120897,0.000120897
177,147.67,0.41992,1.17847,1.00794,0.93922,0.96,0.995,0.9552,0.36667,0.49738,1.03396,0.000120531,0.000120531,0.000120531
178,148.567,0.42202,1.60193,1.06816,0.92685,0.96,0.995,0.95321,0.36506,0.48876,1.03605,0.000120165,0.000120165,0.000120165
179,149.374,0.4419,1.35685,1.03413,0.92912,0.96,0.995,0.96515,0.34339,0.48833,1.0273,0.000119799,0.000119799,0.000119799
180,150.183,0.43224,1.35179,1.05767,0.89686,0.96,0.995,0.96913,0.31221,0.49505,1.01793,0.000119432,0.000119432,0.000119432
